,Country,Year,fertility,life,population,child_mortality,gdp,region
0,Afghanistan,1964,7.671,33.639,10474903.0,339.7,1182.0,South Asia
1,Afghanistan,1965,7.671,34.152,10697983.0,334.1,1182.0,South Asia
2,Afghanistan,1966,7.671,34.662,10927724.0,328.7,1168.0,South Asia
3,Afghanistan,1967,7.671,35.17,11163656.0,323.3,1173.0,South Asia
4,Afghanistan,1968,7.671,35.674,11411022.0,318.1,1187.0,South Asia
5,Afghanistan,1969,7.671,36.172,11676990.0,313.0,1178.0,South Asia
6,Afghanistan,1970,7.671,36.663,11964906.0,307.8,1174.0,South Asia
7,Afghanistan,1971,7.671,37.143,12273101.0,302.1,1092.0,South Asia
8,Afghanistan,1972,7.671,37.614,12593688.0,296.4,1046.0,South Asia
9,Afghanistan,1973,7.671,38.075,12915499.0,290.8,1137.0,South Asia
10,Afghanistan,1974,7.671,38.529,13223928.0,284.9,1170.0,South Asia
11,Afghanistan,1975,7.671,38.977,13505544.0,279.4,1201.0,South Asia
12,Afghanistan,1976,7.67,39.417,13766792.0,273.6,1231.0,South Asia
13,Afghanistan,1977,7.67,39.855,14003408.0,267.8,1119.0,South Asia
14,Afghanistan,1978,7.67,40.298,14179656.0,261.6,1179.0,South Asia
15,Afghanistan,1979,7.669,40.756,14249493.0,255.5,1155.0,South Asia
16,Afghanistan,1980,7.669,41.242,14185729.0,249.1,1158.0,South Asia
17,Afghanistan,1981,7.67,41.77,13984092.0,242.7,1284.0,South Asia
18,Afghanistan,1982,7.671,42.347,13672870.0,236.2,1402.0,South Asia
19,Afghanistan,1983,7.672999999999999,42.977,13300056.0,229.7,1454.0,South Asia
20,Afghanistan,1984,7.676,43.661,12931791.0,222.9,1429.0,South Asia
21,Afghanistan,1985,7.6789999999999985,44.4,12625292.0,216.0,1384.0,South Asia
22,Afghanistan,1986,7.681,45.192,12372113.0,209.2,1486.0,South Asia
23,Afghanistan,1987,7.682,46.024,12183387.0,202.1,1230.0,South Asia
24,Afghanistan,1988,7.682,46.88,12156685.0,195.0,1113.0,South Asia
25,Afghanistan,1989,7.682,47.744,12414686.0,187.8,1087.0,South Asia
26,Afghanistan,1990,7.687,48.601000000000006,13032161.0,181.0,1028.0,South Asia
27,Afghanistan,1991,7.7,49.43899999999999,14069854.0,174.2,1022.0,South Asia
28,Afghanistan,1992,7.725,50.247,15472076.0,167.8,941.0,South Asia
29,Afghanistan,1993,7.757999999999999,51.017,17053213.0,162.0,810.0,South Asia
30,Afghanistan,1994,7.796,51.738,18553819.0,156.8,725.0,South Asia
31,Afghanistan,1995,7.832000000000002,52.4,19789880.0,152.3,872.0,South Asia
32,Afghanistan,1996,7.859,52.995,20684982.0,148.6,895.0,South Asia
33,Afghanistan,1997,7.869,53.527,21299350.0,145.5,921.0,South Asia
34,Afghanistan,1998,7.854,54.00899999999999,21752257.0,142.6,947.0,South Asia
35,Afghanistan,1999,7.809,54.449,22227543.0,139.9,972.0,South Asia
36,Afghanistan,2000,7.733,54.863,22856302.0,137.0,962.0,South Asia
37,Afghanistan,2001,7.622999999999998,55.271,23677385.0,133.8,862.0,South Asia
38,Afghanistan,2002,7.484,55.687,24639841.0,130.3,1053.0,South Asia
39,Afghanistan,2003,7.3210000000000015,56.122,25678639.0,126.8,1097.0,South Asia
40,Afghanistan,2004,7.136,56.583,26693486.0,123.2,1067.0,South Asia
41,Afghanistan,2005,6.93,57.07100000000001,27614718.0,119.6,1146.0,South Asia
42,Afghanistan,2006,6.702000000000001,57.582,28420974.0,116.3,1173.0,South Asia
43,Afghanistan,2007,6.456,58.102,29145841.0,113.2,1298.0,South Asia
44,Afghanistan,2008,6.1960000000000015,58.618,29839994.0,110.4,1311.0,South Asia
45,Afghanistan,2009,5.928,59.124,30577756.0,107.6,1548.0,South Asia
46,Afghanistan,2010,5.659,59.612,31411743.0,105.0,1637.0,South Asia
47,Afghanistan,2011,5.395,60.07899999999999,32358260.0,102.3,1695.0,South Asia
48,Afghanistan,2012,5.141,60.524,33397058.0,99.5,1893.0,South Asia
49,Afghanistan,2013,4.9,60.947,34499915.0,96.7,1884.0,South Asia
50,Albania,1964,5.711,65.475,1817098.0,122.67,3023.0,Europe & Central Asia
51,Albania,1965,5.5939999999999985,65.863,1869942.0,120.09,3129.0,Europe & Central Asia
52,Albania,1966,5.483,66.122,1922993.0,117.56,3242.0,Europe & Central Asia
53,Albania,1967,5.376,66.316,1976140.0,115.09,3359.0,Europe & Central Asia
54,Albania,1968,5.268,66.5,2029314.0,112.67,3475.0,Europe & Central Asia
55,Albania,1969,5.16,66.702,2082474.0,110.3,3587.0,Europe & Central Asia
56,Albania,1970,5.05,66.94800000000001,2135599.0,107.98,3712.0,Europe & Central Asia
57,Albania,1971,4.933,67.251,2188650.0,105.71,3849.0,Europe & Central Asia
58,Albania,1972,4.809,67.595,2241623.0,103.49,3988.0,Europe & Central Asia
59,Albania,1973,4.677,67.96600000000001,2294578.0,101.31,4174.0,Europe & Central Asia
60,Albania,1974,4.538,68.35600000000001,2347607.0,99.18,4177.0,Europe & Central Asia
61,Albania,1975,4.393,68.748,2400801.0,97.1,4178.0,Europe & Central Asia
62,Albania,1976,4.244,69.12100000000001,2454255.0,95.06,4182.0,Europe & Central Asia
63,Albania,1977,4.0939999999999985,69.459,2508026.0,93.06,4188.0,Europe & Central Asia
64,Albania,1978,3.947,69.753,2562121.0,91.1,4194.0,Europe & Central Asia
65,Albania,1979,3.807,70.001,2616530.0,84.7,4201.0,Europe & Central Asia
66,Albania,1980,3.678,70.218,2671300.0,78.6,4218.0,Europe & Central Asia
67,Albania,1981,3.562,70.426,2725029.0,73.0,4227.0,Europe & Central Asia
68,Albania,1982,3.46,70.646,2777592.0,67.8,4237.0,Europe & Central Asia
69,Albania,1983,3.372,70.88600000000002,2831682.0,62.8,4248.0,Europe & Central Asia
70,Albania,1984,3.297,71.14399999999998,2891004.0,58.3,4259.0,Europe & Central Asia
71,Albania,1985,3.233,71.398,2957390.0,54.3,4267.0,Europe & Central Asia
72,Albania,1986,3.177,71.615,3033393.0,50.7,4281.0,Europe & Central Asia
73,Albania,1987,3.1260000000000003,71.77,3116009.0,47.6,4294.0,Europe & Central Asia
74,Albania,1988,3.075,71.85300000000002,3194854.0,44.9,4307.0,Europe & Central Asia
75,Albania,1989,3.023,71.87,3255859.0,42.5,4325.0,Europe & Central Asia
76,Albania,1990,2.97,71.842,3289483.0,40.6,4350.0,Europe & Central Asia
77,Albania,1991,2.917,71.79899999999998,3291695.0,38.8,3081.0,Europe & Central Asia
78,Albania,1992,2.867,71.779,3266983.0,37.3,2877.0,Europe & Central Asia
79,Albania,1993,2.819,71.813,3224901.0,36.0,3172.0,Europe & Central Asia
80,Albania,1994,2.772,71.92,3179442.0,34.6,3457.0,Europe & Central Asia
