node,category,occupation
1,I,scientist
3,P,politician
4,D,celebrity
5,I,politician
6,D,politician
7,D,scientist
8,I,celebrity
9,D,celebrity
10,I,celebrity
11,I,celebrity
12,I,scientist
13,D,celebrity
14,I,celebrity
15,D,politician
16,D,celebrity
17,P,politician
18,P,scientist
19,P,scientist
20,D,politician
21,I,politician
22,D,celebrity
23,D,scientist
24,D,politician
25,D,celebrity
26,D,politician
27,P,politician
28,I,celebrity
29,P,celebrity
30,I,scientist
31,P,scientist
32,D,politician
33,P,scientist
34,I,politician
35,D,politician
36,I,scientist
37,I,politician
38,I,scientist
39,P,scientist
40,I,celebrity
41,P,politician
42,D,politician
43,I,celebrity
44,I,celebrity
45,D,scientist
46,P,politician
47,P,celebrity
48,P,scientist
49,P,politician
50,D,celebrity
51,P,politician
52,P,politician
53,P,scientist
54,I,politician
55,P,celebrity
56,P,politician
57,I,celebrity
58,I,politician
59,D,scientist
60,P,celebrity
61,P,politician
62,P,politician
63,D,celebrity
64,P,celebrity
65,I,celebrity
66,D,politician
67,I,politician
68,P,celebrity
69,I,scientist
70,D,celebrity
71,P,scientist
72,D,celebrity
73,P,politician
74,I,politician
75,P,celebrity
76,D,politician
77,P,celebrity
78,D,politician
79,P,celebrity
80,I,politician
81,D,scientist
82,D,scientist
83,I,scientist
84,D,celebrity
85,I,scientist
86,D,celebrity
87,P,politician
88,P,politician
89,P,celebrity
90,D,politician
91,I,politician
92,P,politician
93,P,politician
94,D,politician
95,P,celebrity
96,I,politician
97,I,celebrity
98,D,celebrity
99,I,celebrity
100,I,politician
101,I,scientist
102,I,scientist
103,P,celebrity
104,P,celebrity
105,D,scientist
106,D,scientist
107,D,celebrity
108,P,celebrity
109,P,celebrity
110,D,scientist
111,I,celebrity
112,D,politician
113,I,scientist
114,D,celebrity
115,D,politician
116,D,scientist
117,I,scientist
118,P,celebrity
119,P,celebrity
120,I,celebrity
121,D,politician
122,P,politician
123,I,politician
124,I,politician
125,I,celebrity
126,P,politician
127,P,scientist
128,D,celebrity
129,D,scientist
130,I,scientist
131,P,celebrity
132,P,scientist
133,D,politician
134,D,celebrity
135,I,politician
136,I,scientist
137,I,celebrity
138,I,scientist
139,I,celebrity
140,D,scientist
141,P,celebrity
142,P,celebrity
143,D,celebrity
144,I,scientist
145,D,scientist
146,I,celebrity
147,P,celebrity
148,D,scientist
149,I,scientist
150,D,celebrity
151,P,scientist
152,D,politician
153,P,celebrity
154,P,scientist
155,I,politician
156,D,celebrity
157,P,politician
158,P,scientist
159,P,scientist
160,I,scientist
161,P,scientist
162,P,politician
163,P,politician
164,P,celebrity
165,P,scientist
166,D,scientist
167,P,celebrity
168,I,scientist
169,D,politician
170,P,scientist
171,D,politician
172,D,celebrity
173,D,celebrity
174,D,celebrity
175,D,scientist
176,P,politician
177,P,politician
178,P,politician
179,I,scientist
180,I,politician
181,D,scientist
182,D,celebrity
