id,name,symbol,slug,circulating_supply,total_supply,max_supply,date_added,num_market_pairs,tags,platform,cmc_rank,last_updated,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,market_cap
1,Bitcoin,BTC,bitcoin,17565962.0,17565962.0,21000000.0,2013-04-28T00:00:00.000Z,6705,['mineable'],,1,2019-03-02T01:54:26.000Z,3866.17463195,7584385601.93303,0.105718,0.204537,-3.10978,67913076670.197685
1027,Ethereum,ETH,ethereum,105070132.2491,105070132.2491,,2015-08-07T00:00:00.000Z,4753,['mineable'],,2,2019-03-02T01:54:17.000Z,136.934041864,3686170453.21927,-0.0117945,-0.0802745,-7.67853,14387677888.054276
52,XRP,XRP,ripple,41432141931.0,99991683860.0,100000000000.0,2013-08-04T00:00:00.000Z,332,[],,3,2019-03-02T01:54:03.000Z,0.31773463417,746166665.071056,-0.212929,0.921004,-0.937669,13164426459.325802
1765,EOS,EOS,eos,906245117.6,1006245119.9339,,2017-07-01T00:00:00.000Z,250,[],,4,2019-03-02T01:54:03.000Z,3.55036308194,1359446839.93608,0.611623,0.21489,-8.1263,3217499208.715414
2,Litecoin,LTC,litecoin,60691911.4890286,60691911.4890286,84000000.0,2013-04-28T00:00:00.000Z,548,['mineable'],,5,2019-03-02T01:54:06.000Z,48.1333706927,1175430351.00085,0.66642,4.08974,-2.62041,2921306273.749952
1831,Bitcoin Cash,BCH,bitcoin-cash,17649237.5,17649237.5,21000000.0,2017-07-23T00:00:00.000Z,238,['mineable'],,6,2019-03-02T01:54:03.000Z,133.006653144,236732930.788322,-0.0866865,0.239634,-7.63624,2347466010.418578
825,Tether,USDT,tether,2021459016.55801,2580057493.36343,,2015-02-25T00:00:00.000Z,1712,[],"{'id': 83, 'name': 'Omni', 'symbol': 'OMNI', 'slug': 'omni', 'token_address': '31'}",7,2019-03-02T01:54:09.000Z,1.00753879207,6648761734.00436,0.0319913,-0.128446,0.0206923,2036698375.7618678
512,Stellar,XLM,stellar,19212285394.859,104762426518.48,,2014-08-05T00:00:00.000Z,209,[],,8,2019-03-02T01:54:03.000Z,0.0865222023633,113788194.231502,0.269091,1.33543,-4.58121,1662289244.7954633
1839,Binance Coin,BNB,binance-coin,141175490.242,189175490.242,,2017-07-25T00:00:00.000Z,116,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xB8c77482e45F1F44dE1745F52C74426C631bDD52'}",9,2019-03-02T01:54:03.000Z,11.4430454604,116079410.333282,0.765642,9.05893,6.50346,1615477552.7334628
1958,TRON,TRX,tron,66682072191.4,99281283754.3,,2017-09-13T00:00:00.000Z,177,['mineable'],,10,2019-03-02T01:54:03.000Z,0.0236020958027,120753634.974113,-0.294079,-1.02527,-5.90232,1573836656.1839805
3602,Bitcoin SV,BSV,bitcoin-sv,17648185.9378846,17648185.9378846,21000000.0,2018-11-09T00:00:00.000Z,117,['mineable'],,11,2019-03-02T01:54:07.000Z,67.1224835834,77757727.6377128,-0.120538,0.324913,2.05906,1184590070.8924496
2010,Cardano,ADA,cardano,25927070538.0,31112483745.0,45000000000.0,2017-10-01T00:00:00.000Z,62,['mineable'],,12,2019-03-02T01:54:03.000Z,0.0433672272507,13159339.140139,-0.0725965,0.288195,-5.8986,1124385159.9663746
328,Monero,XMR,monero,16827148.8998495,16827148.8998495,,2014-05-21T00:00:00.000Z,114,['mineable'],,13,2019-03-02T01:54:02.000Z,49.7207716301,67304835.8689858,0.146466,1.18763,-5.05179,836658827.6351055
1720,IOTA,MIOTA,iota,2779530283.0,2779530283.0,2779530283.0,2017-06-13T00:00:00.000Z,35,[],,14,2019-03-02T01:54:02.000Z,0.297514438372,9350841.38747511,-0.231678,3.62312,-2.07864,826950391.0847112
