,Signal
SHOP,34.41412918178139
CABO,31.002352682241508
HUBS,9.399984707521298
CAI,6.665825058008231
FVRR,5.365111970070615
BILL,3.498477469049533
TWLO,3.1943048963438514
LSPD,2.585071998883137
ASAN,1.2934901608849287
AVLR,1.1334088913989717
CMRE-PB,0.5891699684042351
ZEN,0.48730398103359107
DV,0.4354537832451939
WSO-B,0.3587143361230005
BHR-PD,0.20641769970778512
MPX,0.17707673896166654
AGL,0.17424953241825847
U,0.17302364488172373
PYS,0.16478168502728963
GAB-PJ,0.16257299425111427
NOAH,0.1255354661643011
SMAR,0.12246858612917322
SPLP-PA,0.10015714498958062
FOE,0.09928721551502662
GAB-PH,0.09653388261457607
MH-PA,0.09510756388029229
IBER,0.08900679525383914
MEC,0.08844102874875048
ALIN-PB,0.08162267400213352
FCT,0.07959925849249139
MH-PD,0.06395908060046551
UZD,0.05752120748298495
PMO,0.05502631584518092
PCK,0.05478576679540126
BML-PG,0.05325628901989887
GAB-PK,0.05322997632640991
MMU,0.042849858510908945
QD,0.036484080458132784
CTDD,0.035204096061811185
HTFB,0.03455043280126091
TRTN-PA,0.03325639859824392
GAB-PG,0.03277775064266564
AHL-PC,0.030182371983922707
SYF-PA,0.025158593267171625
SB-PC,0.023259803986537264
TWO-PC,0.01941978376950715
LUB,0.01629276228120169
REXR-PA,0.01592667422420746
NMS,0.014162363011646306
AFB,0.013926496918184483
EGF,0.01303972207427151
GLOG-PA,0.012876295710910313
MQY,0.009952400439328102
SBI,0.009148292723825335
CMO-PE,0.00826817292121973
WEA,0.007548983973361345
SQSP,0.006475748746773036
SF-PA,0.00608015944123963
SOJC,0.005129048715673434
MHI,0.005035505890395697
GNE-PA,0.004480530480266864
KIM-PM,0.0030268543880183074
RTPZ,0.0005073633853580617
