Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
144035,-0.795464966,1.035144931,0.629094361,1.060549508,0.185511503,0.442982009,0.367738732,0.629103967,-0.215407128,-0.407286684,-0.444623245,0.889512517,-0.393951038,0.228559629,-2.174901557,-0.854627509,0.273057184,0.109954381,1.774570604,0.063333155,-0.224164716,-0.406331735,-0.113468446,-0.519506244,0.062944535,-0.625919826,0.305893026,0.13005378,35.8,0
57027,-2.335654929,2.225379941,-3.379450386,2.178538229,-3.568263715,0.316813584,-1.734948003,1.449139434,-1.980033481,-5.71150474,1.837214902,-4.540341645,0.74784586,-6.28431407,-0.128887217,-3.563239406,-7.368320646,-2.692953158,-0.450550114,0.274027123,0.785540122,0.297411984,0.308536146,-0.598415746,-0.121850331,-0.49101831,0.701606041,0.206966343,444.17,1
75347,1.485940828,-0.325034677,-0.551498646,-0.845371047,-0.216371442,-0.917920583,-0.011791735,-0.375972775,-1.136155381,0.674815677,-0.933014221,-0.752400159,0.530340905,0.014988235,0.4561211,0.959853875,0.088730719,-1.358241897,0.945582033,0.131705287,0.145207224,0.34619855,-0.281322268,-0.404634231,0.909394266,-0.034867622,-0.030328384,-0.00406408,25,0
75424,-0.804962707,0.712652886,1.36082733,-0.332024223,1.302313327,1.62338655,0.551872901,0.637665035,-0.844824686,-0.732897633,1.753565298,0.776090057,-0.345610491,0.540119909,0.790632298,-0.738750246,0.193658047,-1.395312807,-2.032099971,-0.224745654,0.219177231,0.644723171,-0.258438156,-1.35739026,0.469039629,-0.272855648,0.023009915,-0.053357417,18.95,0
102676,-5.552122171,5.678133913,-9.77552798,8.416295394,-4.409843819,-1.506235355,-6.899838797,3.750442897,-3.879792558,-6.86416436,7.05106509,-10.13752919,2.815439815,-9.909168054,-0.262229551,-5.022557177,-8.522974872,-2.012939062,1.525732441,-0.064780137,1.128472231,0.228484047,0.286257667,-0.536294098,-0.104924889,0.420919229,-0.297556885,-0.946184387,119.74,1
69247,-3.370379473,-0.095653216,0.917322209,2.002381453,-1.573493681,1.594917541,-1.823807553,2.085065033,0.592645289,-0.708231067,0.064058965,1.520009719,-0.672789295,0.249700643,-1.454847303,-0.941130321,1.571432827,-0.270055341,0.960588596,-0.718218044,0.168080727,0.695657333,0.122729664,-0.218957167,-0.463766836,-0.242330686,-0.80609012,-0.440124043,27,0
138214,1.053139312,-1.658505488,-3.222818298,0.348348198,0.402661151,-1.137736964,1.702513835,-0.697805843,-0.224728914,-0.072707116,0.591202647,0.977514619,0.211375881,1.104293466,-0.731898164,-0.628282254,-0.481032827,0.116364574,0.486244829,0.936472816,0.645548054,0.787150101,-0.776921198,-0.355445806,0.592271422,0.409254943,-0.211326937,-0.006563992,568,0
41646,-3.240186587,2.97812179,-4.162313937,3.869124379,-3.645256455,-0.126270561,-4.744729737,-0.065331044,-2.168366095,-4.758304075,3.471097846,-6.533106769,-0.98346867,-6.073989003,1.125406709,-7.718042405,-9.855927437,-5.193907893,2.042697688,-0.224043463,2.601441029,0.231910116,-0.036489849,0.042639645,-0.438330346,-0.12582108,0.421299802,0.003145876,172.32,1
87884,-0.216511959,1.163339829,0.071801722,0.890147016,0.918029761,-0.574343836,1.322671704,-0.140167961,-0.899893272,0.168880035,0.658320356,0.522308545,-0.539572513,0.730851559,-1.003720555,-1.034188218,-0.014866875,0.127959025,1.01084744,0.084269907,0.17855911,0.776350605,-0.260223605,0.029438065,-0.015525014,-0.397485606,0.430397565,0.23500673,18.91,0
59777,-8.257110817,-4.81446074,-5.36530689,1.204229864,-3.347420097,-1.331601475,-1.967892799,1.295437817,-1.674415243,-3.426052253,0.14456269,-4.28352931,-0.240895042,-3.657490404,0.923104768,0.844221069,-3.948311852,-1.807515992,0.105878827,-1.233987257,0.436390207,-0.077552723,-3.091624356,-0.390200886,-0.288688941,-0.340004217,0.039819105,-1.00790031,319.2,1
26005,1.551270554,-1.019346914,0.219523706,-1.428792743,-1.381348361,-0.765045013,-0.969899396,-0.176265238,-1.694983923,1.463676847,-1.053672941,-1.451407885,-0.184650975,-0.183595978,0.687618147,-0.220335739,0.372216515,0.214789618,-0.052364116,-0.359330513,-0.255076293,-0.378138946,-0.018997866,-0.158809684,0.427156922,-0.172828158,0.02405892,0.014493325,15,0
72824,-1.111495232,-0.257575207,2.250209635,1.152670903,0.432904474,1.254126028,-0.58416279,-0.609681605,1.014602463,0.334532824,0.826374844,0.1968869,-1.885993498,-0.472025637,-0.578141396,-1.243007101,0.570459827,-0.159056766,0.407187527,-0.510613592,0.86291279,0.927825035,-0.343058086,-0.25626823,-0.600742166,-0.180331288,0.026762226,-0.358335321,45.03,1
11131,-1.426623313,4.141986232,-9.804103442,6.666273003,-4.749526793,-2.073129006,-10.08993116,2.791345299,-3.249515617,-11.42045097,10.85301165,-15.96920752,0.546690085,-14.69072913,0.9123374,-12.22718928,-18.58736621,-6.920761861,3.166998907,1.410677653,1.865678768,0.407809282,0.605809354,-0.769348118,-1.746336829,0.502039517,1.97725833,0.711606531,1,1
93904,-11.32063311,7.191950143,-13.17908255,9.099551882,-10.09474888,-2.44011507,-14.1843373,4.452502934,-6.241960003,-12.61816269,6.057319305,-15.71760665,0.11781741,-8.653743357,-2.502553776,-11.23136445,-21.58515214,-9.090892061,1.171188733,-0.180934725,1.082235328,-0.3505625,0.483043946,0.661132921,-0.396521512,-0.413315388,-0.997547798,-0.235035883,37.93,1
